t, x, y, u, v
0.0, 6.391e+06,0,0,7897.4
1.0, 6.391e+06,7897.4,-9.75887,7897.4
2.0, 6.39099e+06,15794.8,-19.5177,7897.39
3.0, 6.39097e+06,23692.2,-29.2765,7897.37
4.0, 6.39094e+06,31589.6,-39.0353,7897.33
5.0, 6.3909e+06,39486.9,-48.794,7897.28
6.0, 6.39085e+06,47384.2,-58.5526,7897.22
7.0, 6.3908e+06,55281.4,-68.3111,7897.15
8.0, 6.39073e+06,63178.5,-78.0695,7897.06
9.0, 6.39065e+06,71075.6,-87.8278,7896.97
10.0, 6.39056e+06,78972.6,-97.5859,7896.86
11.0, 6.39046e+06,86869.4,-107.344,7896.74
12.0, 6.39036e+06,94766.2,-117.102,7896.61
13.0, 6.39024e+06,102663,-126.859,7896.46
14.0, 6.39011e+06,110559,-136.617,7896.3
15.0, 6.38998e+06,118456,-146.374,7896.14
16.0, 6.38983e+06,126352,-156.131,7895.95
17.0, 6.38967e+06,134248,-165.888,7895.76
18.0, 6.38951e+06,142143,-175.644,7895.56
19.0, 6.38933e+06,150039,-185.4,7895.34
20.0, 6.38915e+06,157934,-195.156,7895.11
21.0, 6.38895e+06,165829,-204.912,7894.87
22.0, 6.38875e+06,173724,-214.667,7894.62
23.0, 6.38853e+06,181619,-224.422,7894.35
24.0, 6.38831e+06,189513,-234.177,7894.07
25.0, 6.38807e+06,197407,-243.931,7893.78
26.0, 6.38783e+06,205301,-253.685,7893.48
27.0, 6.38757e+06,213195,-263.438,7893.17
28.0, 6.38731e+06,221088,-273.191,7892.84
29.0, 6.38704e+06,228981,-282.944,7892.51
30.0, 6.38676e+06,236873,-292.696,7892.16
31.0, 6.38646e+06,244765,-302.448,7891.8
32.0, 6.38616e+06,252657,-312.199,7891.42
33.0, 6.38585e+06,260548,-321.95,7891.04
34.0, 6.38553e+06,268440,-331.7,7890.64
35.0, 6.38519e+06,276330,-341.45,7890.23
36.0, 6.38485e+06,284220,-351.199,7889.81
37.0, 6.3845e+06,292110,-360.948,7889.37
38.0, 6.38414e+06,300000,-370.696,7888.93
39.0, 6.38377e+06,307888,-380.443,7888.47
40.0, 6.38339e+06,315777,-390.19,7888
41.0, 6.383e+06,323665,-399.937,7887.52
42.0, 6.3826e+06,331552,-409.682,7887.02
43.0, 6.38219e+06,339439,-419.427,7886.52
44.0, 6.38177e+06,347326,-429.172,7886
45.0, 6.38134e+06,355212,-438.916,7885.47
46.0, 6.3809e+06,363097,-448.659,7884.92
47.0, 6.38045e+06,370982,-458.401,7884.37
48.0, 6.38e+06,378867,-468.143,7883.8
49.0, 6.37953e+06,386751,-477.884,7883.23
50.0, 6.37905e+06,394634,-487.624,7882.63
51.0, 6.37856e+06,402516,-497.364,7882.03
52.0, 6.37806e+06,410398,-507.102,7881.42
53.0, 6.37756e+06,418280,-516.84,7880.79
54.0, 6.37704e+06,426161,-526.578,7880.15
55.0, 6.37651e+06,434041,-536.314,7879.5
56.0, 6.37598e+06,441920,-546.049,7878.84
57.0, 6.37543e+06,449799,-555.784,7878.16
58.0, 6.37488e+06,457677,-565.518,7877.48
59.0, 6.37431e+06,465555,-575.251,7876.78
60.0, 6.37373e+06,473432,-584.983,7876.07
61.0, 6.37315e+06,481308,-594.714,7875.35
62.0, 6.37256e+06,489183,-604.444,7874.61
63.0, 6.37195e+06,497058,-614.174,7873.86
